id,name_ch,name,match_title,match_id,similarity,match_url,true_match
159,我能否忘快來的主, Can I Forget Come Lord,Can I forget the coming Lord,8757.0,0.285714285714286,https://www.hymnal.net/en/hymn/h/8757,TRUE
160,這名何等奇妙難言, There's Something About That Name,,,0.0,,
161,耶穌此名何等芬芳, How Sweet The Name Of Jesus Sounds,How sweet the Name of Jesus sounds,66.0,1.0,https://www.hymnal.net/en/hymn/h/66,TRUE
162,主耶穌，我愛你名," Thy Name We Love, Lord Jesus","Thy name we love, Lord Jesus",69.0,1.0,https://www.hymnal.net/en/hymn/h/69,TRUE
163,時常攜帶耶穌聖名, Take The Name Of Jesus With You,Take the name of Jesus with you,670.0,1.0,https://www.hymnal.net/en/hymn/h/670,TRUE
164,頌讚主尊名, Blessed Be The Name,All praise to Him who reigns on high,79.0,0.0,https://www.hymnal.net/en/hymn/h/79,
165,耶穌你名何等芬芳, Jesus! How Much Thy Name Unfolds,Jesus! how much Thy name unfolds,71.0,1.0,https://www.hymnal.net/en/hymn/h/71,TRUE
166,耶穌這名甜美芬芳," Jesus, This Name Is Sweet And Fragrant",,,0.0,,
167,大地無名甜至如此, There Is No Name So Sweet On Earth,There is a name I love to hear,70.0,0.0769230769230769,https://www.hymnal.net/en/hymn/h/70,
168,耶穌，我愛這名," Jesus, Thy Name I Love","Gathered in Thy name, Lord Jesus",204.0,0.125,https://www.hymnal.net/en/hymn/h/204,
169,耶穌這名何其甘甜, The Name Of Jesus Is So Sweet,How sweet the Name of Jesus sounds,66.0,0.333333333333333,https://www.hymnal.net/en/hymn/h/66,FALSE
170,祂名為奇妙, His Name Is Wonderful,His Name is Wonderful,1085.0,1.0,https://www.hymnal.net/en/hymn/h/1085,TRUE
171,廣，廣似洋無邊," Wide, Wide As The Ocean",,,0.0,,
172,耶穌竟然愛我, Jesus Loves Even Me,I am so glad that our Father in heav'n,291.0,0.0,https://www.hymnal.net/en/hymn/h/291,
173,祂來尋覓滿了柔情, In Tenderness He Sought Me,In tenderness He sought me,1068.0,1.0,https://www.hymnal.net/en/hymn/h/1068,TRUE
174,神聖的愛何其美甜," O Love Divine, How Sweet Thou Art","O Love divine, how sweet Thou art",427.0,1.0,https://www.hymnal.net/en/hymn/h/427,TRUE
175,我們雖然時常搖動, Although We Often Shake,,,0.0,,
176,我的救主, O Blessed Savior,"O blessed Savior, is Thy love",153.0,0.4,https://www.hymnal.net/en/hymn/h/153,
177,主愛口舌真說不來, His Love Is More Than Tongue Can Tell,,,0.0,,
178,你的大愛, It Passeth Knowledge,"It passeth knowledge, that dear love of Thine",154.0,0.285714285714286,https://www.hymnal.net/en/hymn/h/154,TRUE
179,何能如此如我也能, And Can It Be That I Should Gain,And can it be that I should gain,296.0,1.0,https://www.hymnal.net/en/hymn/h/296,TRUE
180,主耶穌當我們想到你, Lord Jesus! When We Think Of Thee,Lord Jesus! when we think of Thee,207.0,1.0,https://www.hymnal.net/en/hymn/h/207,TRUE
181,你這不肯放我的愛," O Love, That Wilt Not Let Me Go","O Love, that wilt not let me go",432.0,1.0,https://www.hymnal.net/en/hymn/h/432,TRUE
182,深哉深哉耶穌的愛," Oh, The Deep, Deep Love Of Jesus",There is a name I love to hear,70.0,0.0,https://www.hymnal.net/en/hymn/h/70,
183,哦祂的愛, O How He Loves,Christ will make His seeking lover,1161.0,0.0,https://www.hymnal.net/en/hymn/h/1161,
184,我有良友, I've Found A Friend,"I've found a Friend, oh, such a Friend",288.0,0.571428571428571,https://www.hymnal.net/en/hymn/h/288,TRUE
185,主的愛越久越深, Sweeter As The Years Go By,Of Jesus' love that sought me,286.0,0.0,https://www.hymnal.net/en/hymn/h/286,
185,主愛新鮮又甘甜, Sweeter As The Years Go By,Of Jesus' love that sought me,286.0,0.0,https://www.hymnal.net/en/hymn/h/286,
186,救主之愛, My Saviour's Love,,,0.0,,
187,驚人恩典, Amazing Grace,Amazing Grace,313.0,1.0,https://www.hymnal.net/en/hymn/h/313,TRUE
188,耶穌已愛我, Jesus Has Loved Me,"Jesus has loved me, wonderful Savior",336.0,0.6,https://www.hymnal.net/en/hymn/h/336,
189,我們要從那裡說起, Where Shall Our Wondering Souls Begin?,,,0.0,,
190,恩愛標本, Loving Specimens,,,0.0,,
191,我真希奇, I Am Amazed,I stand all amazed at the love Jesus offers me,289.0,0.0,https://www.hymnal.net/en/hymn/h/289,
192,我主耶穌惟你是配," Jesus, Thou Alone Art Worthy","Jesus, Thou alone art worthy",182.0,1.0,https://www.hymnal.net/en/hymn/h/182,TRUE
193,讚美不盡讚美, Praise Him Forevermore,"Abba, we come, and low we bow before Thee",8039.0,0.0,https://www.hymnal.net/en/hymn/h/8039,
194,為何我要歌頌耶穌, Why Do I Sing About Jesus?,,,0.0,,
195,來阿你這萬福泉源," Come, Thou Fount","Come, Thou Fount of every blessing",319.0,0.4,https://www.hymnal.net/en/hymn/h/319,
196,主替我還清, Jesus Paid It All,I hear the Savior say,997.0,0.0,https://www.hymnal.net/en/hymn/h/997,
197,咒詛他受祝福我享, He Cursed Blessed I Enjoy,,,0.0,,
198,我歌頌你, I Sing Of Thee,My heart today would sing with joyfulness,8439.0,0.0,https://www.hymnal.net/en/hymn/h/8439,
199,十架下我低頭, Neath The Cross Of My Savior,,,0.0,,
200,哦願我有千萬舌頭," Oh, For A Thousand Tongues To Sing",,,0.0,,
201,主接納我們的詩歌," Lord, Accept Our Feeble Song","Lord, accept our feeble song",90.0,1.0,https://www.hymnal.net/en/hymn/h/90,TRUE
202,我們從前所有, All That We Were,"All that we were—our sin, our guilt",31.0,0.428571428571429,https://www.hymnal.net/en/hymn/h/31,
203,邊唱邊行, He Keeps Me Singing,,,0.0,,
204,主恩更多, His Grace Aboundeth More,,,0.0,,
205,自耶穌來住在我心, Since Jesus Came Into My Heart,What a wonderful change in my life has been wrought,309.0,0.0,https://www.hymnal.net/en/hymn/h/309,
206,耶穌同在就是天堂," Where Jesus Is, 'Tis Heaven There",From every stormy wind that blows,774.0,0.0,https://www.hymnal.net/en/hymn/h/774,
206,有祂同在就是天堂," Where Jesus Is, 'Tis Heaven There",From every stormy wind that blows,774.0,0.0,https://www.hymnal.net/en/hymn/h/774,
207,我的詩歌是耶穌, My Song Shall Be Of Jesus,My song shall be of Jesus,165.0,1.0,https://www.hymnal.net/en/hymn/h/165,TRUE
208,哈利路亞我真歡樂," Hallelujah, I've Been Happy",,,0.0,,
209,在我心中唱美歌, In My Heart There Rings A Melody,,,0.0,,
210,不再定罪, No Condemnation,And can it be that I should gain,296.0,0.0,https://www.hymnal.net/en/hymn/h/296,
211,活在哈利路亞這一邊, Living On The Hallelujah Side,I've believed the true report,551.0,0.0,https://www.hymnal.net/en/hymn/h/551,
212,不知如何, Somehow,"In the Word of old, we are clearly told",1144.0,0.0,https://www.hymnal.net/en/hymn/h/1144,
213,諸天下降主榮耀滿我心, Heaven Came Down And Glory Filled My Soul,,,0.0,,
214,快樂日, O Happy Day,O happy day that fixed my choice,347.0,0.333333333333333,https://www.hymnal.net/en/hymn/h/347,TRUE
215,我真快樂," I'm So Happy, And Here's The Reason",,,0.0,,
216,永遠不渴, Never Thirst Again,We're feeding on the living Bread,1069.0,0.0,https://www.hymnal.net/en/hymn/h/1069,
